,colsample_bytree,eta,eval_metric,gamma,lambda,max_depth,min_child_weight,objective,score,silent,subsample
154,0.5,0.0055,auc,1.0,0.09,8.0,1.0,binary:logistic,0.713442306742,1,0.65
155,0.6,0.0067,auc,0.95,0.01,10.0,2.0,binary:logistic,0.713569559315,1,0.75
156,1.0,0.0085,auc,0.95,0.07,11.0,1.0,binary:logistic,0.711649702125,1,0.75
157,0.55,0.0059,auc,0.85,0.16,11.0,1.0,binary:logistic,0.713108855597,1,0.7
158,0.5,0.0063,auc,0.9,0.27,12.0,2.0,binary:logistic,0.712961009165,1,0.8
159,0.5,0.0069,auc,0.95,0.04,8.0,1.0,binary:logistic,0.713328191232,1,0.65
160,0.6,0.0052,auc,0.85,0.2,10.0,2.0,binary:logistic,0.713424507253,1,0.7
161,0.55,0.0049,auc,0.9,0.11,13.0,1.0,binary:logistic,0.711979946667,1,0.75
162,0.5,0.0079,auc,0.8,0.38,9.0,2.0,binary:logistic,0.713852653318,1,0.8
163,0.55,0.0055,auc,0.85,0.3,14.0,1.0,binary:logistic,0.71056281907,1,0.6
164,0.5,0.0044,auc,0.8,0.15,12.0,1.0,binary:logistic,0.71311440431,1,0.75
165,0.6,0.0061,auc,0.85,0.23,8.0,2.0,binary:logistic,0.713856468842,1,0.8
166,0.55,0.0065,auc,0.9,0.03,9.0,1.0,binary:logistic,0.71357640995,1,0.7
167,0.85,0.0053,auc,0.75,0.36,11.0,1.0,binary:logistic,0.712210421122,1,0.75
168,0.55,0.0047,auc,0.9,0.19,10.0,2.0,binary:logistic,0.713858490472,1,0.8
169,0.5,0.0074,auc,0.8,0.42,8.0,1.0,binary:logistic,0.713236381038,1,0.65
170,0.6,0.0071,auc,0.85,0.1,11.0,2.0,binary:logistic,0.713053377508,1,0.8
171,0.5,0.005,auc,1.0,0.29,13.0,1.0,binary:logistic,0.712005721852,1,0.7
172,0.6,0.0077,auc,0.75,0.07,9.0,1.0,binary:logistic,0.713198189633,1,0.65
173,0.55,0.006,auc,0.85,0.25,10.0,2.0,binary:logistic,0.713540861971,1,0.75
174,0.5,0.0057,auc,0.8,0.14,12.0,1.0,binary:logistic,0.712808896721,1,0.7
175,0.65,0.004,auc,0.95,0.22,8.0,2.0,binary:logistic,0.713748597,1,0.8
176,0.5,0.0067,auc,0.75,0.01,14.0,1.0,binary:logistic,0.710534314878,1,0.75
177,0.55,0.0089,auc,0.8,0.34,9.0,2.0,binary:logistic,0.713857524994,1,0.8
178,0.75,0.0045,auc,0.9,0.16,10.0,1.0,binary:logistic,0.712421417971,1,0.55
179,0.6,0.0092,auc,0.7,0.41,11.0,1.0,binary:logistic,0.713043001271,1,0.85
180,0.95,0.0063,auc,0.85,0.46,23.0,2.0,binary:logistic,0.700744642675,1,0.85
181,0.5,0.0043,auc,0.75,0.09,11.0,1.0,binary:logistic,0.713924827379,1,0.75
182,0.9,0.0054,auc,0.8,0.27,12.0,2.0,binary:logistic,0.711540616047,1,0.7
183,0.55,0.0051,auc,0.95,0.19,13.0,1.0,binary:logistic,0.71180818402,1,0.75
184,0.55,0.0047,auc,0.75,0.32,9.0,1.0,binary:logistic,0.713942966416,1,0.8
185,0.65,0.0032,auc,0.7,0.05,8.0,2.0,binary:logistic,0.712914119127,1,0.6
186,0.5,0.0035,auc,0.85,0.25,10.0,1.0,binary:logistic,0.714493246103,1,0.85
187,0.6,0.0036,auc,0.9,0.37,12.0,1.0,binary:logistic,0.713007026956,1,0.85
188,0.8,0.0026,auc,0.8,0.12,8.0,2.0,binary:logistic,0.713040369391,1,0.85
189,0.65,0.0034,auc,0.8,0.24,16.0,1.0,binary:logistic,0.707521110521,1,0.9
190,0.5,0.002,auc,0.75,0.29,9.0,1.0,binary:logistic,0.713883282198,1,0.85
191,0.55,0.004,auc,1.0,0.52,10.0,1.0,binary:logistic,0.71423613896,1,0.85
192,0.55,0.0029,auc,1.0,0.56,15.0,2.0,binary:logistic,0.709060846173,1,0.9
193,0.7,0.004,auc,1.0,0.59,17.0,1.0,binary:logistic,0.704478591677,1,0.9
194,0.55,0.0024,auc,0.65,0.51,14.0,2.0,binary:logistic,0.710749294078,1,0.85
195,0.6,0.001,auc,0.7,0.61,13.0,1.0,binary:logistic,0.708984598268,1,0.85
196,0.5,0.0038,auc,0.65,0.47,12.0,1.0,binary:logistic,0.71334027686,1,0.9
197,0.75,0.0032,auc,1.0,0.53,11.0,2.0,binary:logistic,0.712993268252,1,0.85
198,0.65,0.0027,auc,0.95,0.44,10.0,1.0,binary:logistic,0.713672151651,1,0.8
199,0.85,0.0042,auc,0.7,0.66,15.0,1.0,binary:logistic,0.70798992065,1,0.85
200,0.55,0.0036,auc,0.95,0.7,10.0,2.0,binary:logistic,0.714087661428,1,0.9
201,0.6,0.0017,auc,0.75,0.42,22.0,1.0,binary:logistic,0.702805872891,1,0.8
202,0.5,0.0014,auc,0.65,0.39,21.0,2.0,binary:logistic,0.70431264386,1,0.95
